episode_path,instruction
/home/billy/25-1kp/vla/ROS_action/basket_dataset_v2/episode_20260129_010041_basket_1box_hori_left_core_medium.h5,Navigate to the brown pot on the left
/home/billy/25-1kp/vla/ROS_action/basket_dataset_v2/episode_20260129_010422_basket_1box_hori_left_core_medium.h5,Navigate to the brown pot on the left
/home/billy/25-1kp/vla/ROS_action/basket_dataset_v2/episode_20260129_010453_basket_1box_hori_left_core_medium.h5,Navigate to the brown pot on the left
/home/billy/25-1kp/vla/ROS_action/basket_dataset_v2/episode_20260129_011330_basket_1box_hori_left_core_medium.h5,Navigate to the brown pot on the left
/home/billy/25-1kp/vla/ROS_action/basket_dataset_v2/episode_20260129_011507_basket_1box_hori_left_core_medium.h5,Navigate to the brown pot on the left
/home/billy/25-1kp/vla/ROS_action/basket_dataset_v2/episode_20260129_011537_basket_1box_hori_left_core_medium.h5,Navigate to the brown pot on the left
/home/billy/25-1kp/vla/ROS_action/basket_dataset_v2/episode_20260129_011609_basket_1box_hori_left_core_medium.h5,Navigate to the brown pot on the left
/home/billy/25-1kp/vla/ROS_action/basket_dataset_v2/episode_20260129_011640_basket_1box_hori_left_core_medium.h5,Navigate to the brown pot on the left
/home/billy/25-1kp/vla/ROS_action/basket_dataset_v2/episode_20260129_011710_basket_1box_hori_left_core_medium.h5,Navigate to the brown pot on the left
/home/billy/25-1kp/vla/ROS_action/basket_dataset_v2/episode_20260129_011745_basket_1box_hori_left_core_medium.h5,Navigate to the brown pot on the left
/home/billy/25-1kp/vla/ROS_action/basket_dataset_v2/episode_20260129_011815_basket_1box_hori_left_core_medium.h5,Navigate to the brown pot on the left
/home/billy/25-1kp/vla/ROS_action/basket_dataset_v2/episode_20260129_011846_basket_1box_hori_left_core_medium.h5,Navigate to the brown pot on the left
/home/billy/25-1kp/vla/ROS_action/basket_dataset_v2/episode_20260129_011917_basket_1box_hori_left_core_medium.h5,Navigate to the brown pot on the left
/home/billy/25-1kp/vla/ROS_action/basket_dataset_v2/episode_20260129_011944_basket_1box_hori_left_core_medium.h5,Navigate to the brown pot on the left
/home/billy/25-1kp/vla/ROS_action/basket_dataset_v2/episode_20260129_012218_basket_1box_hori_left_core_medium.h5,Navigate to the brown pot on the left
/home/billy/25-1kp/vla/ROS_action/basket_dataset_v2/episode_20260129_012247_basket_1box_hori_left_core_medium.h5,Navigate to the brown pot on the left
/home/billy/25-1kp/vla/ROS_action/basket_dataset_v2/episode_20260129_012344_basket_1box_hori_left_core_medium.h5,Navigate to the brown pot on the left
/home/billy/25-1kp/vla/ROS_action/basket_dataset_v2/episode_20260129_012427_basket_1box_hori_left_core_medium.h5,Navigate to the brown pot on the left
/home/billy/25-1kp/vla/ROS_action/basket_dataset_v2/episode_20260129_012457_basket_1box_hori_left_core_medium.h5,Navigate to the brown pot on the left
/home/billy/25-1kp/vla/ROS_action/basket_dataset_v2/episode_20260129_012527_basket_1box_hori_left_core_medium.h5,Navigate to the brown pot on the left
/home/billy/25-1kp/vla/ROS_action/basket_dataset_v2/episode_20260129_012611_basket_1box_hori_left_core_medium.h5,Navigate to the brown pot on the left
/home/billy/25-1kp/vla/ROS_action/basket_dataset_v2/episode_20260129_012641_basket_1box_hori_left_core_medium.h5,Navigate to the brown pot on the left
/home/billy/25-1kp/vla/ROS_action/basket_dataset_v2/episode_20260129_012715_basket_1box_hori_left_core_medium.h5,Navigate to the brown pot on the left
/home/billy/25-1kp/vla/ROS_action/basket_dataset_v2/episode_20260129_012745_basket_1box_hori_left_core_medium.h5,Navigate to the brown pot on the left
/home/billy/25-1kp/vla/ROS_action/basket_dataset_v2/episode_20260129_013057_basket_1box_hori_left_core_medium.h5,Navigate to the brown pot on the left
/home/billy/25-1kp/vla/ROS_action/basket_dataset_v2/episode_20260129_013141_basket_1box_hori_left_core_medium.h5,Navigate to the brown pot on the left
/home/billy/25-1kp/vla/ROS_action/basket_dataset_v2/episode_20260129_013211_basket_1box_hori_left_core_medium.h5,Navigate to the brown pot on the left
/home/billy/25-1kp/vla/ROS_action/basket_dataset_v2/episode_20260129_013244_basket_1box_hori_left_core_medium.h5,Navigate to the brown pot on the left
/home/billy/25-1kp/vla/ROS_action/basket_dataset_v2/episode_20260129_013316_basket_1box_hori_left_core_medium.h5,Navigate to the brown pot on the left
/home/billy/25-1kp/vla/ROS_action/basket_dataset_v2/episode_20260129_013420_basket_1box_hori_left_core_medium.h5,Navigate to the brown pot on the left
/home/billy/25-1kp/vla/ROS_action/basket_dataset_v2/episode_20260129_013454_basket_1box_hori_left_core_medium.h5,Navigate to the brown pot on the left
/home/billy/25-1kp/vla/ROS_action/basket_dataset_v2/episode_20260129_013529_basket_1box_hori_left_core_medium.h5,Navigate to the brown pot on the left
/home/billy/25-1kp/vla/ROS_action/basket_dataset_v2/episode_20260129_013714_basket_1box_hori_left_core_medium.h5,Navigate to the brown pot on the left
/home/billy/25-1kp/vla/ROS_action/basket_dataset_v2/episode_20260129_013813_basket_1box_hori_left_core_medium.h5,Navigate to the brown pot on the left
/home/billy/25-1kp/vla/ROS_action/basket_dataset_v2/episode_20260129_013843_basket_1box_hori_left_core_medium.h5,Navigate to the brown pot on the left
/home/billy/25-1kp/vla/ROS_action/basket_dataset_v2/episode_20260129_013917_basket_1box_hori_left_core_medium.h5,Navigate to the brown pot on the left
/home/billy/25-1kp/vla/ROS_action/basket_dataset_v2/episode_20260129_013950_basket_1box_hori_left_core_medium.h5,Navigate to the brown pot on the left
/home/billy/25-1kp/vla/ROS_action/basket_dataset_v2/episode_20260129_014056_basket_1box_hori_left_core_medium.h5,Navigate to the brown pot on the left
/home/billy/25-1kp/vla/ROS_action/basket_dataset_v2/episode_20260129_014125_basket_1box_hori_left_core_medium.h5,Navigate to the brown pot on the left
/home/billy/25-1kp/vla/ROS_action/basket_dataset_v2/episode_20260129_014210_basket_1box_hori_left_core_medium.h5,Navigate to the brown pot on the left
/home/billy/25-1kp/vla/ROS_action/basket_dataset_v2/episode_20260129_014325_basket_1box_hori_left_core_medium.h5,Navigate to the brown pot on the left
/home/billy/25-1kp/vla/ROS_action/basket_dataset_v2/episode_20260129_014358_basket_1box_hori_left_core_medium.h5,Navigate to the brown pot on the left
/home/billy/25-1kp/vla/ROS_action/basket_dataset_v2/episode_20260129_014431_basket_1box_hori_left_core_medium.h5,Navigate to the brown pot on the left
/home/billy/25-1kp/vla/ROS_action/basket_dataset_v2/episode_20260129_014503_basket_1box_hori_left_core_medium.h5,Navigate to the brown pot on the left
/home/billy/25-1kp/vla/ROS_action/basket_dataset_v2/episode_20260129_014540_basket_1box_hori_left_core_medium.h5,Navigate to the brown pot on the left
/home/billy/25-1kp/vla/ROS_action/basket_dataset_v2/episode_20260129_014632_basket_1box_hori_left_core_medium.h5,Navigate to the brown pot on the left
/home/billy/25-1kp/vla/ROS_action/basket_dataset_v2/episode_20260129_014701_basket_1box_hori_left_core_medium.h5,Navigate to the brown pot on the left
/home/billy/25-1kp/vla/ROS_action/basket_dataset_v2/episode_20260129_014733_basket_1box_hori_left_core_medium.h5,Navigate to the brown pot on the left
/home/billy/25-1kp/vla/ROS_action/basket_dataset_v2/episode_20260129_014803_basket_1box_hori_left_core_medium.h5,Navigate to the brown pot on the left
/home/billy/25-1kp/vla/ROS_action/basket_dataset_v2/episode_20260129_014830_basket_1box_hori_left_core_medium.h5,Navigate to the brown pot on the left
/home/billy/25-1kp/vla/ROS_action/basket_dataset_v2/episode_20260129_014905_basket_1box_hori_left_core_medium.h5,Navigate to the brown pot on the left
/home/billy/25-1kp/vla/ROS_action/basket_dataset_v2/episode_20260129_014935_basket_1box_hori_left_core_medium.h5,Navigate to the brown pot on the left
/home/billy/25-1kp/vla/ROS_action/basket_dataset_v2/episode_20260129_015304_basket_1box_hori_left_core_medium.h5,Navigate to the brown pot on the left
/home/billy/25-1kp/vla/ROS_action/basket_dataset_v2/episode_20260129_015338_basket_1box_hori_left_core_medium.h5,Navigate to the brown pot on the left
/home/billy/25-1kp/vla/ROS_action/basket_dataset_v2/episode_20260129_015408_basket_1box_hori_left_core_medium.h5,Navigate to the brown pot on the left
/home/billy/25-1kp/vla/ROS_action/basket_dataset_v2/episode_20260129_015448_basket_1box_hori_left_core_medium.h5,Navigate to the brown pot on the left
/home/billy/25-1kp/vla/ROS_action/basket_dataset_v2/episode_20260129_015607_basket_1box_hori_left_core_medium.h5,Navigate to the brown pot on the left
/home/billy/25-1kp/vla/ROS_action/basket_dataset_v2/episode_20260129_015638_basket_1box_hori_left_core_medium.h5,Navigate to the brown pot on the left
