frame_index,action_x,action_y,action_z,event_type,episode_name,total_duration,action_chunk_size
0,0.0,0.0,0.0,episode_start,episode_20251112_131153_1box_hori_left_core_medium,36.4025514125824,8
1,1.15,0.0,0.0,start_action,episode_20251112_131153_1box_hori_left_core_medium,36.4025514125824,8
2,1.15,0.0,0.0,start_action,episode_20251112_131153_1box_hori_left_core_medium,36.4025514125824,8
3,1.15,0.0,0.0,start_action,episode_20251112_131153_1box_hori_left_core_medium,36.4025514125824,8
4,0.0,1.15,0.0,start_action,episode_20251112_131153_1box_hori_left_core_medium,36.4025514125824,8
5,0.0,1.15,0.0,start_action,episode_20251112_131153_1box_hori_left_core_medium,36.4025514125824,8
6,1.15,1.15,0.0,start_action,episode_20251112_131153_1box_hori_left_core_medium,36.4025514125824,8
7,1.15,1.15,0.0,start_action,episode_20251112_131153_1box_hori_left_core_medium,36.4025514125824,8
8,1.15,1.15,0.0,start_action,episode_20251112_131153_1box_hori_left_core_medium,36.4025514125824,8
9,1.15,1.15,0.0,start_action,episode_20251112_131153_1box_hori_left_core_medium,36.4025514125824,8
10,1.15,1.15,0.0,start_action,episode_20251112_131153_1box_hori_left_core_medium,36.4025514125824,8
11,1.15,1.15,0.0,start_action,episode_20251112_131153_1box_hori_left_core_medium,36.4025514125824,8
12,1.15,1.15,0.0,start_action,episode_20251112_131153_1box_hori_left_core_medium,36.4025514125824,8
13,1.15,0.0,0.0,start_action,episode_20251112_131153_1box_hori_left_core_medium,36.4025514125824,8
14,1.15,0.0,0.0,start_action,episode_20251112_131153_1box_hori_left_core_medium,36.4025514125824,8
15,1.15,0.0,0.0,start_action,episode_20251112_131153_1box_hori_left_core_medium,36.4025514125824,8
16,1.15,0.0,0.0,start_action,episode_20251112_131153_1box_hori_left_core_medium,36.4025514125824,8
17,1.15,0.0,0.0,start_action,episode_20251112_131153_1box_hori_left_core_medium,36.4025514125824,8
